Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"SSC (UR)",
"Dangar Island",305,
"Dangarsleigh",0,
"Dangelong",0,
"Dapto",0,
"Darawank",0,
"Darbalara",0,
"Darbys Falls",0,
"Dareton",0,
"Dargan",0,
"Dark Corner",0,
"Darkes Forest",0,
"Darkwood",0,
"Darling Point",4192,
"Darlinghurst",11317,
"Darlington (Singleton - NSW)",0,
"Darlington (Sydney - NSW)",3093,
"Darlington Point",0,
"Darlow",0,
"Dartbrook",0,
"Daruka",0,
"Davidson",2845,
"Davis Creek",0,
"Davistown",2492,
"Dawes Point",361,
"Daysdale",0,
"Dean Park",3224,
"Deauville",0,
"Debenham",0,
"Dee Why",21518,
"Deep Creek (Clarence Valley - NSW)",0,
"Deep Creek (Kempsey - NSW)",0,
"Deep Creek (Kyogle - NSW)",0,
"Deepwater (NSW)",0,
"Deer Vale",0,
"Delegate",0,
"Delungra",0,
"Denham Court",1985,
"Denhams Beach",0,
"Deniliquin",0,
"Denistone",3749,
"Denistone East",2248,
"Denistone West",930,
"Denman",0,
"Depot Beach",0,
"Derriwong",0,
"Deua",0,
"Deua River Valley",0,
"Devils Hole",0,
"Dewitt",0,
"Dharruk",2776,
"Dhulura",0,
"Dhuragoon",0,
"Diamond Beach",0,
"Diamond Head",0,
"Diehard",0,
"Diggers Camp",0,
"Dignams Creek",0,
"Dilkoon",0,
"Dilpurra",0,
"Dingo Forest",0,
"Dinoga",0,
"Dirnaseer",0,
"Dirty Creek",0,
"Dobies Bight",0,
"Doctor George Mountain",0,
"Doctors Gap",0,
"Dog Rocks",0,
"Dolans Bay",599,
"Dolls Point",1657,
"Dollys Flat",0,
"Dolphin Point",0,
"Dombarton",0,
"Donald Creek",0,
"Dondingalong",0,
"Doon Doon",0,
"Doonbah",0,
"Doonside",13452,
"Dooralong",359,
"Dora Creek",0,
"Dorrigo",0,
"Dorrigo Mountain",0,
"Dorroughby",0,
"Double Bay",4643,
"Doubtful Creek",0,
"Douglas Park",1360,
"Dover Heights",3802,
"Downside",0,
"Doyalson",309,
"Doyalson North",384,
"Doyles Creek",0,
"Doyles River",0,
"Drake",0,
"Drildool",0,
"Dripstone",0,
"Drummoyne",11950,
"Dry Creek (NSW)",0,
"Dry Plain",0,
"Dubbo",0,
"Duck Creek",0,
"Duckenfield",0,
"Duckmaloi",0,
"Dudley",0,
"Duffys Forest",475,
"Dulguigan",0,
"Dulwich Hill",13710,
"Dum Dum",0,
"Dumaresq",0,
"Dumaresq Island",0,
"Dumaresq Valley",0,
"Dumbudgery",0,
"Dunbible",0,
"Dunbogan",0,
"Duncans Creek",0,
"Dundas (NSW)",4735,
"Dundas Valley",5411,
"Dundee",0,
"Dundurrabin",0,
"Dunedoo",0,
"Dungarubba",0,
"Dungay",0,
"Dungeree",0,
"Dungog",0,
"Dungowan",0,
"Dunkeld (NSW)",0,
"Dunmore (NSW)",0,
"Dunolly (NSW)",0,
"Dunoon",0,
"Duns Creek",0,
"Dunville Loop",0,
"Dural (Hornsby - NSW)",7569,
"Dural (Singleton - NSW)",0,
"Duramana",0,
"Duranbah",0,
"Duri",0,
"Duroby",0,
"Durran Durra",0,
"Durras North",0,
"Durren Durren",78,
"Duval",0,
"Dyers Crossing",0,
"Dyraaba",0,
"Dyrring",0,
"Eagle Vale",5787,
"Eagleton",0,
"Earlwood",17742,
"East Albury",0,
"East Ballina",0,
"East Branxton",0,
"East Coraki",0,
"East Corrimal",0,
"East Gosford",4238,
"East Gresford",0,
"East Hills",3205,
"East Jindabyne",0,
"East Kangaloon",0,
"East Kempsey",0,
"East Killara",2974,
"East Kurrajong",2195,
"East Lindfield",3714,
"East Lismore",0,
"East Lynne",0,
"East Maitland",0,
"East Ryde",2452,
"East Seaham",0,
"East Tamworth",0,
"East Wagga Wagga",0,
"East Wardell",0,
"Eastern Creek",828,
"Eastgardens",860,
"Eastlakes",6915,
"Eastwood (NSW)",17870,
"Eatonsville",0,
"Ebenezer (NSW)",991,
"Ebor",0,
"Eccleston",0,
"Edderton",0,
"Eden",0,
"Eden Creek",0,
"Edensor Park",9772,
"Edenville",0,
"Edgecliff",2580,
"Edgeroi",0,
"Edgeworth",0,
"Edith (NSW)",0,
"Edmondson Park",2277,
"Edrom",0,
"Eenaweena",0,
"Eglinton (NSW)",0,
"Eighteen Mile",0,
"Elands",0,
"Elanora Heights",4362,
"Elcombe",0,
"Elderslie (Camden - NSW)",6003,
"Elderslie (Singleton - NSW)",0,
"Eleebana",0,
"Elermore Vale",0,
"Elizabeth Bay",5215,
"Elizabeth Beach",0,
"Elizabeth Hills",2534,
"Ellalong",0,
"Elland",0,
"Ellangowan (NSW)",0,
"Ellenborough",0,
"Ellerslie (Snowy Valleys - NSW)",0,
"Ellerslie (Wentworth - NSW)",0,
"Ellerston",0,
"Ellis Lane",859,
"Elong Elong",0,
"Elrington",0,
"Elsmore",0,
"Eltham (NSW)",0,
"Elvina Bay",84,
"Emerald Beach",0,
"Emerald Hill",0,
"Emerton",2250,
"Emmaville",0,
"Empire Bay",2401,
"Empire Vale",0,
"Emu Heights (NSW)",3287,
"Emu Plains",8415,
"Emu Swamp",0,
"Endrick",0,
"Enfield (NSW)",2834,
"Engadine",17376,
"Englorie Park",415,
"Enmore (Armidale Regional - NSW)",0,
"Enmore (Inner West - NSW)",3879,
"Enngonia",0,
"Environa",0,
"Epping (NSW)",23691,
"Eraring",0,
"Eremerang",0,
"Erigolia",0,
"Erin Vale",0,
"Erina",4780,
"Erina Heights",425,
"Ermington",10738,
"Erowal Bay",0,
"Errowanbang",0,
"Erskine Park",6440,
"Erskineville",8014,
"Erudgere",0,
"Eschol Park",2582,
"Esk (NSW)",0,
"Essington",0,
"Estella",0,
"Ettalong Beach",4793,
"Ettamogah",0,
"Ettrema",0,
"Ettrick (NSW)",0,
"Euabalong",0,
"Euabalong West",0,
"Euberta",0,
"Euchareena",0,
"Eucumbene",0,
"Eugowra",0,
"Eulah Creek",0,
"Eumungerie",0,
"Eunanoreenya",0,
"Eungai Creek",0,
"Eungai Rail",0,
"Eungella (NSW)",0,
"Eureka (NSW)",0,
"Eurimbla",0,
"Eurobodalla",0,
"Euroka",0,
"Euroley",0,
"Eurongilly",0,
"Eurunderee",0,
"Euston",0,
"Evans Head",0,
"Evans Plains",0,
"Eveleigh",666,
"Eviron",0,
"Ewingar",0,
"Ewingsdale",0,
"Exeter (NSW)",0,
"Failford",0,
"Fairfield (NSW)",18081,
"Fairfield East",5271,
"Fairfield Heights",7517,
"Fairfield West",11571,
"Fairholme",0,
"Fairlight",5841,
"Fairy Hill",0,
"Fairy Meadow",0,
"Falbrook",0,
"Falconer",0,
"Falls Creek (NSW)",0,
"Far Meadow",0,
"Fargunyah",0,
"Farley",0,
"Farmborough Heights",0,
"Farnham",0,
"Farrants Hill",0,
"Farringdon",0,
"Fassifern (NSW)",0,
"Faulconbridge",4026,
"Faulkland",0,
"Fawcetts Plain",0,
"Federal (NSW)",0,
"Fennell Bay",0,
"Fern Bay",0,
"Fern Gully",0,
"Fernances",13,
"Fernances Crossing",0,
"Fernbank Creek",0,
"Fernbrook",0,
"Fernhill",0,
"Fernleigh",0,
"Fernmount",0,
"Fernside",0,
"Fernvale (NSW)",0,
"Ferodale",0,
"Fiddletown",231,
"Fifield",0,
"Figtree",0,
"Findon Creek",0,
"Fine Flower",0,
"Fingal Bay",0,
"Fingal Head",0,
"Finley",0,
"Firefly",0,
"Fishermans Bay",0,
"Fishermans Paradise",0,
"Fishermans Reach",0,
"Fishers Hill",0,
"Fishing Point",0,
"Fitzgeralds Mount",0,
"Fitzgeralds Valley",0,
"Fitzroy Falls",0,
"Five Dock",9359,
"Five Ways",0,
"Flat Tops",0,
"Fletcher (NSW)",0,
"Flinders (NSW)",0,
"Floraville",0,
"Forbes (NSW)",0,
"Forbes Creek",0,
"Forbes River",0,
"Forbesdale",0,
"Fords Bridge",0,
"Fordwich",0,
"Forest Glen (NSW)",68,
"Forest Grove (NSW)",0,
"Forest Hill (NSW)",0,
"Forest Land",0,
"Forest Lodge",4583,
"Forest Reefs",0,
"Forestville (NSW)",8333,
"Forresters Beach",2897,
"Forster (NSW)",0,
"Fortis Creek",0,
"Fosters Valley",0,
"Fosterton",0,
"Fountaindale",703,
"Four Corners",0,
"Four Mile Creek (NSW)",0,
"Fowlers Gap",0,
"Foxground",0,
"Frazer Park",0,
"Frazers Creek",0,
"Frederickton",0,
"Freeburn Island",0,
"Freemans",0,
"Freemans Reach",1973,
"Freemans Waterhole",0,
"Freemantle",0,
"French Park",0,
"Frenchs Forest",13476,
"Freshwater (NSW)",8862,
"Frog Rock",0,
"Frogmore",0,
"Frogs Hollow",0,
"Frying Pan",0,
"Fullerton",0,
"Fullerton Cove",0,
"Furracabad",0,
"Gadara",0,
"Gala Vale",0,
"Galambine",0,
"Galong",0,
"Galore",0,
"Galston",3133,
"Ganbenang",0,
"Gangat",0,
"Ganmain",0,
"Garah",0,
"Garden Suburb",0,
"Garema",0,
"Garland",0,
"Garland Valley",0,
"Garoo",0,
"Garra",0,
"Garthowen",0,
"Gateshead",0,
"Gearys Flat",0,
"Geehi",0,
"Gelston Park",0,
"Gemalla",0,
"Geneva",0,
"Georges Creek (NSW)",0,
"Georges Hall",9039,
"Georges Plains",0,
"Georgetown (NSW)",0,
"Georgica",0,
"Gerogery",0,
"Gerringong",0,
"Gerroa",0,
"Geurie",0,
"Ghinni Ghi",0,
"Ghinni Ghinni",0,
"Ghoolendaadi",0,
"Giants Creek",0,
"Gibberagee",0,
"Gibraltar Range",0,
"Gidginbung",0,
"Gidley",0,
"Gilead",415,
"Gilgai",0,
"Gilgandra",0,
"Gilgooma",0,
"Gilgunnia",0,
"Gillenbah",0,
"Gilletts Ridge",0,
"Gillieston Heights",0,
"Gilmandyke",0,
"Gilmore (NSW)",0,
"Gin Gin (NSW)",0,
"Gineroi",0,
"Ginghi",0,
"Gingkin",0,
"Girards Hill",0,
"Girilambone",0,
"Giro",0,
"Girral",0,
"Girralong",0,
"Girraween (NSW)",5587,
"Girvan",0,
"Gladesville",11826,
"Gladstone (NSW)",0,
"Glanmire (NSW)",0,
"Glebe (NSW)",11534,
"Gledswood Hills",24,
"Glen Alice",0,
"Glen Allen",0,
"Glen Alpine",4558,
"Glen Davis",0,
"Glen Elgin",0,
"Glen Fergus",0,
"Glen Innes",0,
"Glen Martin",0,
"Glen Nevis",0,
"Glen Oak",0,
"Glen Ward",0,
"Glen William",0,
"Glenbawn",0,
"Glenbrook",5049,
"Glencoe (NSW)",0,
"Glendale (NSW)",0,
"Glendenning",5125,
"Glendon",0,
"Glendon Brook",0,
"Glenelg (NSW)",0,
"Glenellen",0,
"Glenfield (NSW)",9637,
"Glenfield Park",0,
"Glengarrie",0,
"Glenhaven",6507,
"Gleniffer",0,
"Glenmore (NSW)",119,
"Glenmore Park",23002,
"Glennies Creek",0,
"Glenning Valley",2016,
"Glenorie",3497,
"Glenquarry",0,
"Glenreagh",0,
"Glenridding",0,
"Glenrock (NSW)",0,
"Glenroy (Albury - NSW)",0,
"Glenroy (Snowy Valleys - NSW)",0,
"Glenthorne",0,
"Glenugie",0,
"Glenwood (NSW)",16128,
"Glenworth Valley",5,
"Glossodia",2829,
"Gloucester",0,
"Gloucester Tops",0,
"Goat Island",0,
"Gobarralong",0,
"Gobbagombalin",0,
"Gocup",0,
"Godfreys Creek",0,
"Gogeldrie",0,
"Gol Gol",0,
"Gollan",0,
"Golspie",0,
"Gongolgon",0,
"Gonn",0,
"Goobarragandra",0,
"Good Forest",0,
"Good Hope",0,
"Goodnight",0,
"Goodooga",0,
"Goodwood Island",0,
"Googong",0,
"Goolgowi",0,
"Goolhi",0,
"Goolma",0,
"Goolmangar",0,
"Gooloogong",0,
"Goombargana",0,
"Goonellabah",0,
"Goonengerry",0,
"Goonoo Forest",0,
"Goonoo Goonoo",0,
"Goonumbla",0,
"Goorangoola",0,
"Goorianawa",0,
"Gordon (NSW)",7666,
"Gorge Creek",0,
"Gormans Hill",0,
"Gorokan",8370,
"Gosford",3500,
"Gosforth",0,
"Gostwyck",0,
"Goulburn",0,
"Gouldsville",0,
"Gowan",0,
"Gowang",0,
"Gowrie (Singleton - NSW)",0,
"Gowrie (Tamworth Regional - NSW)",0,
"Grabben Gullen",0,
"Gradys Creek",0,
"Grafton",0,
"Gragin",0,
"Grahamstown",0,
"Graman",0,
"Grants Beach",0,
"Granville (NSW)",15329,
"Grasmere",1963,
"Grassy Head",0,
"Grattai",0,
"Gravesend",0,
"Grays Point",3126,
"Great Mackerel Beach",38,
"Great Marlow",0,
"Green Cape",0,
"Green Creek",0,
"Green Forest",0,
"Green Gully (NSW)",0,
"Green Hills (Armidale Regional - NSW)",0,
"Green Hills (Snowy Valleys - NSW)",0,
"Green Pigeon",0,
"Green Point (Central Coast - NSW)",6406,
"Green Point (Gosford - NSW)",170,
"Green Point (Mid-Coast - NSW)",0,
"Green Valley (NSW)",12514,
"Greenacre",24371,
"Greendale (Bega Valley - NSW)",0,
"Greendale (Liverpool - NSW)",345,
"Greenethorpe",0,
"Greenfield Park",5088,
"Greengrove",20,
"Greenhill (NSW)",0,
"Greenhills Beach",793,
"Greenlands (Singleton - NSW)",0,
"Greenlands (Snowy Monaro Regional - NSW)",0,
"Greenleigh",0,
"Greenridge",0,
"Greenwell Point",0,
"Greenwich",5615,
"Greenwich Park",0,
"Greg Greg",0,
"Gregadoo",0,
"Gregory Hills",4987,
"Greigs Flat",0,
"Grenfell",0,
"Gresford",0,
"Greta (NSW)",0,
"Greta Main",0,
"Grevillia",0,
"Greystanes",22803,
"Griffith (NSW)",0,
"Grogan",0,
"Grong Grong",0,
"Grose Vale",1261,
"Grose Wold",636,
"Grosses Plain",0,
"Growee",0,
"Guerilla Bay",0,
"Guildford (NSW)",22327,
"Guildford West",4916,
"Gulargambone",0,
"Gulf Creek",0,
"Gulgong",0,
"Gulmarrad",0,
"Gum Flat",0,
"Gum Scrub",0,
"Gumbalie",0,
"Gumble",0,
"Gumly Gumly",0,
"Gumma",0,
"Gunbar",0,
"Gundagai",0,
"Gundamulda",0,
"Gundaroo",0,
"Gundary",0,
"Gunderbooka",0,
"Gunderman",199,
"Gundy",0,
"Gungal",0,
"Gungalman",0,
"Gunnedah",0,
"Gunning",0,
"Gunning Gap",0,
"Gunningbland",0,
"Gunningrah",0,
"Gurley",0,
"Gurnang",0,
"Gurranang",0,
"Gurrundah",0,
"Guyong",0,
"Guyra",0,
"Gwabegar",0,
"Gwandalan",3274,
"Gwynneville",0,
"Gymea",7587,
"Gymea Bay",6892,
"Haberfield",6453,
"Hacks Ferry",0,
"Halekulani",2538,
"Halfway Creek",0,
"Hallidays Point",0,
"Halloran",40,
"Halls Creek (NSW)",0,
"Hallsville",0,
"Halton",0,
"Hambledon Hill",0,
"Hamilton (NSW)",0,
"Hamilton East",0,
"Hamilton North",0,
"Hamilton South",0,
"Hamilton Valley",0,
"Hamlyn Terrace",6068,
"Hammondville",3495,
"Hampden Hall",0,
"Hampton (NSW)",0,
"Hanging Rock",0,
"Hanleys Creek",0,
"Hannam Vale",0,
"Hanwood",0,
"Harden",0,
"Hardys Bay",232,
"Harefield",0,
"Hargraves",0,
"Harolds Cross",0,
"Harparary",0,
"Harpers Hill",0,
"Harrington",0,
"Harrington Park",10664,
"Harris Park",5801,
"Hartley (NSW)",0,
"Hartley Vale",0,
"Hartwood",0,
"Hartys Plains",0,
"Harwood",0,
"Hassall Grove",4512,
"Hassans Walls",0,
"Hastings Point",0,
"Hat Head",0,
"Hatfield",0,
"Havilah (NSW)",0,
"Hawkesbury Heights",453,
"Hawks Nest",0,
"Hay (NSW)",0,
"Hay South",0,
"Hayes Gap",0,
"Haymarket",7354,
"Haystack",0,
"Hayters Hill",0,
"Haywards Bay",0,
"Hazelbrook",4976,
"Hazelgrove",0,
"Heathcote (NSW)",6013,
"Heatherbrae",0,
"Hebden",0,
"Hebersham",5686,
"Heckenberg",3093,
"Heddon Greta",0,
"Heifer Station",0,
"Helensburgh",0,
"Henley",472,
"Henty (NSW)",0,
"Hereford Hall",0,
"Hermidale",0,
"Hermitage Flat",0,
"Hernani",0,
"Herons Creek",0,
"Hexham (NSW)",0,
"Hickeys Creek",0,
"High Range",0,
"Higher Macdonald",10,
"Highfields (NSW)",0,
"Hill End (NSW)",0,
"Hill Top (Snowy Monaro Regional - NSW)",0,
"Hill Top (Wingecarribee - NSW)",0,
"Hilldale",0,
"Hillgrove (Armidale Regional - NSW)",0,
"Hillgrove (Wagga Wagga - NSW)",0,
"Hillsborough (Lake Macquarie - NSW)",0,
"Hillsborough (Maitland - NSW)",0,
"Hillsdale",5505,
"Hillston",0,
"Hillville",0,
"Hillvue",0,
"Hinchinbrook (NSW)",11222,
"Hinton",0,
"Hobartville (NSW)",2744,
"Hobbys Yards",0,
"Hogarth Range",0,
"Holbrook",0,
"Holgate",968,
"Hollisdale",0,
"Hollydeen",0,
"Holmesville",0,
"Holroyd",1277,
"Holsworthy",5481,
"Holts Flat",0,
"Home Rule",0,
"Homebush (NSW)",7004,
"Homebush West",8609,
"Homeleigh",0,
"Honeybugle",0,
"Hopefield",0,
"Hopkins Creek",0,
"Horningsea Park",3731,
"Hornsby",22167,
"Hornsby Heights",6309,
"Horse Station Creek",0,
"Horseshoe Bend",0,
"Horseshoe Creek",0,
"Horsfield Bay",544,
"Horsley",0,
"Horsley Park",1837,
"Hoskinstown",0,
"Hovells Creek",0,
"Howards Grass",0,
"Howell",0,
"Howes Valley",0,
"Howick (NSW)",0,
"Howlong",0,
"Hoxton Park",4357,
"Humula",0,
"Hungerford (NSW)",0,
"Hunters Hill",9529,
"Hunterview",0,
"Huntingdon",0,
"Huntingwood",0,
"Huntley (Orange - NSW)",0,
"Huntley (Wollongong - NSW)",0,
"Huntleys Cove",748,
"Huntleys Point",146,
"Huonbrook",0,
"Hurlstone Park",4694,
"Hurstville",29827,
"Hurstville Grove",2666,
"Huskisson",0,
"Hyams Beach",0,
"Hyland Park",0,
"Hyndmans Creek",0,
"Ilarwill",0,
"Ilford",0,
"Illabo",0,
"Illaroo",0,
"Illawong",7272,
"Iluka (NSW)",0,
"Indi",0,
"Ingebirah",0,
"Ingleburn",15038,
"Ingleside",972,
"Innes View",0,
"Inverell",0,
"Invergordon (NSW)",0,
"Invergowrie",0,
"Iron Pot Creek",0,
"Ironbark (NSW)",0,
"Ironmungy",0,
"Irvington",0,
"Irymple (NSW)",0,
"Isabella",0,
"Islington",0,
"Ivanhoe (NSW)",0,
"Jackadgery",0,
"Jacks Creek",0,
"Jacksons Flat",0,
"Jacky Bulbin Flat",0,
"Jagumba",0,
"Jagungal Wilderness",0,
"Jamberoo",0,
"James Creek",0,
"Jamisontown",5498,
"Jannali",6185,
"Jaspers Brush",0,
"Jaunter",0,
"Jeir",0,
"Jellat Jellat",0,
"Jemalong",0,
"Jembaicumbene",0,
"Jennings",0,
"Jenolan",0,
"Jeogla",0,
"Jerangle",0,
"Jeremadra",0,
"Jeremy",0,
"Jerilderie",0,
"Jerrabattgulla",0,
"Jerrabomberra",0,
"Jerrara",0,
"Jerrawa",0,
"Jerrawangala",0,
"Jerrong",0,
"Jerrys Plains",0,
"Jerseyville",0,
"Jesmond",0,
"Jewells",0,
"Jews Lagoon",0,
"Jiggi",0,
"Jilliby",1644,
"Jimenbuen",0,
"Jincumbilly",0,
"Jindabyne",0,
"Jinden",0,
"Jindera",0,
"Jingellic",0,
"Jingera",0,
"Joadja",0,
"Joes Box",0,
"Johns River",0,
"Jolly Nose",0,
"Jones Bridge",0,
"Jones Creek",0,
"Jones Island",0,
"Jordan Springs",5160,
"Judds Creek",0,
"Jugiong",0,
"Junction Hill",0,
"Junee",0,
"Junee Reefs",0,
"Kahibah",0,
"Kains Flat",0,
"Kalang",0,
"Kalaru",0,
"Kalkite",0,
"Kamarah",0,
"Kameruka",0,
"Kanahooka",0,
"Kanangra",0,
"Kandos",0,
"Kangaloon",0,
"Kangaroo Creek",0,
"Kangaroo Point (NSW)",561,
"Kangaroo Valley",0,
"Kangaroobie",0,
"Kangiara",0,
"Kangy Angy",307,
"Kanimbla (NSW)",0,
"Kanoona",0,
"Kanwal",4095,
"Kapooka",0,
"Kaputar",0,
"Karaak Flat",0,
"Karabar",0,
"Karangi",0,
"Kareela",3455,
"Kariong",6381,
"Kars Springs",0,
"Karuah",0,
"Katoomba",7959,
"Kayuga",0,
"Kearns",2745,
"Kearsley",0,
"Keepit",0,
"Keera",0,
"Keerrong",0,
"Keinbah",0,
"Keiraville",0,
"Keith Hall",0,
"Kellys Plains",0,
"Kellyville",27973,
"Kellyville Ridge",10470,
"Kelso (NSW)",0,
"Kelvin",0,
"Kembla Grange",0,
"Kembla Heights",0,
"Kemps Creek",2271,
"Kempsey",0,
"Kendall",0,
"Kenebri",0,
"Kennaicle Creek",0,
"Kensington (NSW)",15002,
"Kenthurst",5040,
"Kentlyn",745,
"Kentucky",0,
"Kentucky South",0,
"Kerewong",0,
"Keri Keri",0,
"Kerrabee",0,
"Kerrigundi",0,
"Kerrs Creek",0,
"Kew (NSW)",0,
"Keybarbin",0,
"Khancoban",0,
"Khatambuhl",0,
"Kia Ora (NSW)",0,
"Kiacatoo",0,
"Kiah",0,
"Kiama",0,
"Kiama Downs",0,
"Kiama Heights",0,
"Kianga (NSW)",0,
"Kiar",36,
"Kickabil",0,
"Kielvale",0,
"Kikiamah",0,
"Kikoira",0,
"Kilaben Bay",0,
"Kilgin",0,
"Kilgra",0,
"Killabakh",0,
"Killara (NSW)",10576,
"Killarney Heights",4465,
"Killarney Vale",7216,
"Killawarra (NSW)",0,
"Killcare",478,
"Killcare Heights",744,
"Killiekrankie",0,
"Killimicat",0,
"Killingworth (NSW)",0,
"Killongbutta",0,
"Kimbriki",0,
"Kinchela",0,
"Kincumber",7093,
"Kincumber South",688,
"Kindee",0,
"Kindervale",0,
"King Creek",0,
"Kingfisher Shores",165,
"Kinghorne",0,
"Kings Forest",0,
"Kings Langley",9353,
"Kings Park (NSW)",3453,
"Kings Plains (Blayney - NSW)",0,
"Kings Plains (Inverell - NSW)",0,
"Kings Point",0,
"Kingscliff",0,
"Kingsdale",0,
"Kingsford (NSW)",15484,
"Kingsgate",0,
"Kingsgrove",12450,
"Kingsland",0,
"Kingstown",0,
"Kingsvale",0,
"Kingswood (Bega Valley - NSW)",0,
"Kingswood (Penrith - NSW)",9301,
"Kingswood (Tamworth Regional - NSW)",0,
"Kioloa",0,
"Kiora",0,
"Kippara",0,
"Kippaxs",0,
"Kippenduff",0,
"Kirkconnell",0,
"Kirkham",695,
"Kirrawee",9282,
"Kirribilli",3818,
"Kitchener",0,
"Kiwarrak",0,
"Klori",0,
"Knights Hill",0,
"Knockrow",0,
"Knorrit Flat",0,
"Knorrit Forest",0,
"Kogarah",15120,
"Kogarah Bay",2021,
"Kooba",0,
"Kookabookra",0,
"Koolewong",867,
"Koolkhan",0,
"Koonawarra",0,
"Koonorigan",0,
"Koonyum Range",0,
"Kooragang",0,
"Koorainghat",0,
"Koorawatha",0,
"Kooringal (NSW)",0,
"Kootingal",0,
"Koraleigh",0,
"Koreelah",0,
"Korora",0,
"Kosciuszko",0,
"Kosciuszko National Park",0,
"Kotara",0,
"Kotara South",0,
"Krambach",0,
"Krawarree",0,
"Kremnos",0,
"Ku-Ring-Gai Chase",3,
"Kulnura",607,
"Kulwin (NSW)",0,
"Kunama",0,
"Kundabung",0,
"Kundibakh",0,
"Kundle Kundle",0,
"Kungala",0,
"Kunghur",0,
"Kunghur Creek",0,
"Kurmond",851,
"Kurnell",2269,
"Kurraba Point",1525,
"Kurrajong",3059,
"Kurrajong Heights",1340,
"Kurrajong Hills",667,
"Kurri Kurri",0,
"Kyalite",0,
"Kyarran",0,
"Kybeyan",0,
"Kyeamba",0,
"Kyeemagh",916,
"Kyle Bay",1036,
"Kynnumboon",0,
"Kyogle",0,
"La Perouse",404,
"Lacmalac",0,
"Lade Vale",0,
"Ladysmith",0,
"Laffing Waters",0,
"Laggan",0,
"Lagoon Grass",0,
"Laguna",0,
"Lake Albert (NSW)",0,
"Lake Bathurst",0,
"Lake Brewster",0,
"Lake Burrendong",0,
"Lake Cargelligo",0,
"Lake Cathie",0,
"Lake Conjola",0,
"Lake Cowal",0,
"Lake George",0,
"Lake Haven",3575,
"Lake Heights",0,
"Lake Hume Village",0,
"Lake Illawarra",0,
"Lake Innes",0,
"Lake Macquarie",0,
"Lake Munmorah",5246,
"Lake Tabourie",0,
"Lake Wyangan",0,
"Lakelands (NSW)",0,
"Lakemba",17019,
"Lakesland",434,
"Lakewood",0,
"Lalalty",0,
"Lalor Park",7667,
"Lambs Valley (Glen Innes Severn - NSW)",0,
"Lambs Valley (Singleton - NSW)",0,
"Lambton",0,
"Landervale",0,
"Lane Cove",10815,
"Lane Cove North",11442,
"Lane Cove West",2630,
"Langley Vale",0,
"Lanitza",0,
"Lankeys Creek",0,
"Lansdowne (Canterbury-Bankstown - NSW)",16,
"Lansdowne (Mid-Coast - NSW)",0,
"Lansdowne Forest",0,
"Lansvale",2575,
"Lapstone",957,
"Larbert",0,
"Largs",0,
"Larnook",0,
"Larras Lee",0,
"Laughtondale",82,
"Laurel Hill",0,
"Laurieton",0,
"Lavadia",0,
"Lavender Bay",943,
"Laverstock",0,
"Lavington",0,
"Lawrence (NSW)",0,
"Lawson (NSW)",2612,
"Leadville",0,
"Leconfield",0,
"Lee Creek",0,
"Leeton",0,
"Leets Vale",57,
"Leeville",0,
"Legume",0,
"Leichhardt (NSW)",14622,
"Lemington",0,
"Lemon Tree",58,
"Lemon Tree Passage",0,
"Len Waters Estate",0,
"Lenaghan",0,
"Lennox Head",0,
"Leonay",2517,
"Leppington",3499,
"Lerida",0,
"Lethbridge Park",4750,
"Leumeah",9836,
"Leura",4648,
"Levenstrath",0,
"Lewinsbrook",0,
"Lewis Ponds",0,
"Lewisham (NSW)",3165,
"Leycester",0,
"Liberty Grove",2253,
"Lidcombe",19626,
"Liddell",0,
"Lidsdale",0,
"Lidster",0,
"Lightning Ridge",0,
"Lilli Pilli (Eurobodalla - NSW)",0,
"Lilli Pilli (Sutherland Shire - NSW)",1391,
"Lillian Rock",0,
"Lilydale (NSW)",0,
"Lilyfield",7617,
"Lilyvale (NSW)",0,
"Limbri",0,
"Limeburners Creek (Mid-Coast - NSW)",0,
"Limeburners Creek (Port Macquarie-Hastings - NSW)",0,
"Limekilns",0,
"Limerick",0,
"Limestone (NSW)",0,
"Limpinwood",0,
"Linburn",0,
"Linden (NSW)",496,
"Lindendale",0,
"Lindesay",0,
"Lindesay Creek",0,
"Lindfield",9794,
"Lindifferon",0,
"Linley Point",348,
"Lionsville",0,
"Lisarow",5136,
"Lismore (NSW)",0,
"Lismore Heights",0,
"Liston",0,
"Lithgow",0,
"Little Back Creek",0,
"Little Bay",4477,
"Little Billabong",0,
"Little Forest",0,
"Little Hartley",0,
"Little Jacks Creek",0,
"Little Jilliby",115,
"Little Pelican",0,
"Little Plain",0,
"Little River (NSW)",0,
"Little Topar",0,
"Little Wobby",60,
"Littleton",0,
"Liverpool",27087,
"Llanarth (NSW)",0,
"Llandilo",1633,
"Llangothlin",0,
"Lloyd",0,
"Loadstone",0,
"Lochiel (NSW)",0,
"Lochinvar",0,
"Lockhart",0,
"Locksley (NSW)",0,
"Loftus",4128,
"Loftville",0,
"Logans Crossing",0,
"Logie Brae",0,
"Londonderry (NSW)",3904,
"Long Beach",0,
"Long Flat (NSW)",0,
"Long Jetty",6391,
"Long Plain (Inverell - NSW)",0,
